carrier,n_generators,p_nom_mw,p_nom_opt_mw,expansion_mw,expansion_pos_mw
CCGT,43,168561.747094,168561.89177317038,0.14467917040344958,0.0
nuclear,12,93009.2,93009.2,0.0,0.0
coal,31,56600.13576228872,56600.13576228872,0.0,0.0
ror,37,34209.44629297339,34209.44629297339,0.0,0.0
lignite,11,33496.15079780034,33496.15079780034,0.0,0.0
biomass,35,6972.507379000001,6972.507379000001,0.0,0.0
oil,22,4038.77871,4038.77871,0.0,0.0
geothermal,1,59.0,59.0,0.0,0.0
OCGT,1,23.31,23.310004163402272,4.163402273604788e-06,0.0
offwind-dc,20,0.0,0.18594654599196503,0.18594654599196503,0.0
offwind-ac,29,0.0,0.2701762759543744,0.2701762759543744,0.0
offwind-float,29,0.0,0.15034975683199822,0.15034975683199822,0.0
onwind,50,0.0,129514.9216833663,129514.9216833663,129513.89954911402
solar,50,0.0,15821.212102653224,15821.212102653224,15815.865642420296
solar-hsat,50,0.0,326046.3613517467,326046.3613517467,326043.16513638315
