name,bus0,bus1,type,x,r,g,b,s_nom,s_nom_mod,s_nom_extendable,s_nom_min,s_nom_max,s_nom_set,s_max_pu,capital_cost,active,build_year,lifetime,length,carrier,terrain_factor,num_parallel,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt,v_nom,i_nom,dc,overnight_cost
0,AT0 0,AT0 1,Al/St 240/40 4-bundle 380.0,16.141918357064487,1.9685266289103034,0.0,0.005298702071385288,7328.653376985434,0.0,True,7328.653376985434,27328.653376985436,,0.7,11926.981136114946,True,0,inf,283.1915501239384,AC,1.0,4.315789473684211,-inf,inf,0,0.00011178613820681778,1.3632455878880218e-05,0.0,0.0,0.00011178613820681778,1.3632455878880218e-05,7328.687550848769,380.0,2.58,0.0,125210.70843996828
1,AT0 0,CZ0 0,Al/St 240/40 4-bundle 380.0,21.414879485237535,2.6115706689314067,0.0,0.0027192093004066533,4558.064905198257,0.0,True,4558.064905198258,24558.06490519826,,0.7,9839.135882865692,True,0,inf,233.6668493254417,AC,1.0,2.68421052631579,-inf,inf,0,0.00014830248950995523,1.8085669452433566e-05,0.0,0.0,0.00014830248950995523,1.8085669452433566e-05,4558.071479535822,380.0,2.58,0.0,103313.78789433984
10,BE0 0,BE0 1,Al/St 240/40 4-bundle 380.0,9.796356089299046,1.1946775718657374,0.0,0.0015538207772373047,5094.3078352215825,0.0,True,5094.307835221583,25094.30783522158,,0.7,5030.124392200764,True,0,inf,119.46775718657378,AC,1.0,3.000000000000001,-inf,inf,0,6.784180117243107e-05,8.273390386881838e-06,0.0,0.0,6.784180117243107e-05,8.273390386881838e-06,5094.320560060143,380.0,2.58,0.0,52821.64141733179
11,BE0 0,BE0 1,Al/St 240/40 4-bundle 380.0,14.694513467169816,1.7920138374597339,0.0,0.00103588197504982,3396.21,0.0,True,3396.21,23396.21,,0.7,5030.836722695848,True,2024,inf,119.46775718657378,AC,1.0,2.000002812856486,-inf,inf,0,0.00010176255863691008,1.241006812645245e-05,0.0,0.0,0.00010176255863691008,1.241006812645245e-05,3396.2156945358793,380.0,2.58,,52821.64141733179
12,BE0 0,FR0 0,Al/St 240/40 4-bundle 380.0,62.677424473831294,7.643588350467231,0.0,0.0029881186331615997,2792.931927204815,0.0,True,2792.931927204815,22792.931927204816,,0.7,17643.308032068995,True,0,inf,419.05637886333506,AC,1.0,1.6447368421052633,-inf,inf,0,0.0004340541861068649,5.2933437330105475e-05,0.0,0.0,0.0004340541861068649,5.2933437330105475e-05,2792.932606762279,380.0,2.58,0.0,185282.17402956536
13,BE0 0,LU0 1,Al/St 240/40 4-bundle 380.0,45.95291093511718,5.6040135286728265,0.0,0.00027144700099158335,983.1120383760948,0.0,True,983.1120383760948,20983.112038376094,,0.7,4553.23895361964,True,0,inf,108.14762950070369,AC,1.0,0.5789473684210527,-inf,inf,0,0.0003182334552293434,3.880895795479797e-05,0.0,0.0,0.0003182334552293434,3.880895795479797e-05,993.7241569142412,380.0,2.58,0.0,47816.544314122424
14,BE0 0,NL0 1,Al/St 240/40 4-bundle 380.0,28.866420879053535,3.52029522915287,0.0,0.00203491738798879,3396.205223481055,0.0,True,3396.2052234810553,23396.205223481054,,0.7,9880.623978955166,True,0,inf,234.6863486101914,AC,1.0,2.0000000000000004,-inf,inf,0,0.0001999059617662987,2.437877582515838e-05,0.0,0.0,0.0001999059617662987,2.437877582515838e-05,3396.2065870668275,380.0,2.58,0.0,103764.55073539808
15,BE0 1,FR0 0,Al/St 240/40 4-bundle 380.0,45.68894570341089,5.5718226467574254,0.0,0.004643051936114329,4077.6806137190297,0.0,True,4077.6806137190297,24077.68061371903,,0.7,18783.622395249804,True,0,inf,445.9901899268554,AC,1.0,2.4013157894736845,-inf,inf,0,0.00031640544115935516,3.858602940967746e-05,0.0,0.0,0.00031640544115935516,3.858602940967746e-05,4077.6818233643926,380.0,2.58,0.0,197190.72696052573
16,BE0 1,NL0 0,Al/St 240/40 4-bundle 380.0,14.502668339675576,1.7686180902043387,0.0,0.0010223550782513212,3396.205223481055,0.0,True,3396.2052234810553,23396.205223481054,,0.7,4964.785934340508,True,0,inf,117.90787268028927,AC,1.0,2.0000000000000004,-inf,inf,0,0.00010043399127199153,1.2248047716096528e-05,0.0,0.0,0.00010043399127199153,1.2248047716096528e-05,5585.0239928254,380.0,2.58,0.0,52131.95189788485
17,CH0 0,CH0 1,Al/St 240/40 4-bundle 380.0,4.710476603817975,0.5744483663192653,0.0,0.003479058440759137,10992.980065478152,0.0,True,10992.980065478152,30992.98006547815,,0.7,5220.262476761259,True,0,inf,123.95991062678885,AC,1.0,6.473684210526317,-inf,inf,0,3.2621029112312846e-05,3.978174281989372e-06,0.0,0.0,3.2621029112312846e-05,3.978174281989372e-06,10993.150076352023,380.0,2.58,0.0,54807.808428403296
18,CH0 0,CH0 1,Al/St 240/40 4-bundle 380.0,15.247047563216713,1.8593960442947213,0.0,0.001074832574671521,3396.21,0.0,True,3396.21,23396.21,,0.7,5219.57419411376,True,2029,inf,123.95991062678885,AC,1.0,2.000002812856486,-inf,inf,0,0.00010558897204443707,1.2876703907858181e-05,0.0,0.0,0.00010558897204443707,1.2876703907858181e-05,3396.2104451747855,380.0,2.58,,54807.808428403296
19,CH0 0,DE0 1,Al/St 240/40 4-bundle 380.0,63.75935139251403,7.775530657623662,0.0,0.0011236672996206253,1698.1026117405274,0.0,True,1698.1026117405277,21698.102611740527,,0.7,10914.052196471068,True,0,inf,259.1843552541221,AC,1.0,1.0000000000000002,-inf,inf,0,0.0004415467547958035,5.384716521900043e-05,0.0,0.0,0.0004415467547958035,5.384716521900043e-05,1859.1643952195438,380.0,2.58,0.0,114596.13369015491
2,AT0 0,CZ0 0,Al/St 240/40 4-bundle 380.0,28.74098204490045,3.504997810353713,0.0,0.0020260803674826988,3396.21,0.0,True,3396.21,23396.21,,0.7,9839.513916357146,True,2022,inf,233.6668493254417,AC,1.0,2.000002812856486,-inf,inf,0,0.00019903727177908898,2.4272838021840117e-05,0.0,0.0,0.00019903727177908898,2.4272838021840117e-05,3396.2140256005223,380.0,2.58,,103313.78789433984
20,CH0 0,FR0 0,Al/St 240/40 4-bundle 380.0,7.066857438727012,0.8618118827715867,0.0,0.014216904829943833,18142.885799122476,0.0,True,18142.88579912248,38142.88579912248,,0.7,12926.82368053494,True,0,inf,306.9259863204073,AC,1.0,10.684210526315791,-inf,inf,0,4.893945594686296e-05,5.968226334983287e-06,0.0,0.0,4.893945594686296e-05,5.968226334983287e-06,18142.922462414997,380.0,2.58,0.0,135704.68528808572
21,CH0 0,IT0 1,Al/St 240/40 4-bundle 380.0,110.62864553831822,13.491298236380272,0.0,0.000653491007295223,983.1120383760948,0.0,True,983.1120383760948,20983.112038376094,,0.7,10963.910986787461,True,0,inf,260.3583870178649,AC,1.0,0.5789473684210527,-inf,inf,0,0.000766126354143478,9.343004318822903e-05,0.0,0.0,0.000766126354143478,9.343004318822903e-05,1193.9847009247976,380.0,2.58,0.0,115115.22173782061
22,CH0 1,DE0 1,Al/St 240/40 4-bundle 380.0,4.7863577071350925,0.5837021594067185,0.0,0.007997150317549578,16534.157009052506,0.0,True,16534.157009052506,36534.157009052506,,0.7,7976.156654677246,True,0,inf,189.44719208814553,AC,1.0,9.73684210526316,-inf,inf,0,3.314652151755604e-05,4.042258721653176e-06,0.0,0.0,3.314652151755604e-05,4.042258721653176e-06,17529.57812855692,380.0,2.58,0.0,83762.44673592158
