name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt,overnight_cost,connection_overnight_cost
AT0 0 CCGT,AT0 0,Slack,,3281.2,0.0,True,3281.2,inf,,0.0,1.0,,-inf,inf,0.0,1.0,CCGT,45.63907733075967,0.0,True,0,inf,101315.89438229987,0.5942338168962575,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,3281.204207760839,854514.0,
AT0 1 CCGT,AT0 1,PQ,,84.0,0.0,True,84.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,CCGT,45.58622180975514,0.0,True,0,inf,101315.89438229986,0.595,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,84.00018277224726,854514.0,
BE0 0 CCGT,BE0 0,PQ,,978.0,0.0,True,978.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,CCGT,45.58745054160083,0.0,True,0,inf,101315.89438229986,0.595,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,978.000832500265,854514.0,
BE0 0 biomass,BE0 0,PQ,,30.0,0.0,False,30.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,biomass,15.838440448159359,0.0,True,0,inf,294201.05117025424,0.468,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,30.0,2337611.6,
BE0 0 nuclear,BE0 0,PQ,,3008.0,0.0,False,3008.0,inf,,0.0,0.883,,-inf,inf,0.0,1.0,nuclear,14.023008915327534,0.0,True,0,inf,753784.2152972104,0.326,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,3008.0,8594135.399999999,
BE0 0 oil,BE0 0,PQ,,18.0,0.0,False,18.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,oil,157.53409538264953,0.0,True,0,inf,39330.42285251387,0.35,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,18.0,357414.4,
BE0 1 CCGT,BE0 1,PQ,,4100.3,0.0,True,4100.3,inf,,0.0,1.0,,-inf,inf,0.0,1.0,CCGT,45.58596856559358,0.0,True,0,inf,101315.89438229986,0.595,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,4100.303553629742,854514.0,
BE0 1 biomass,BE0 1,PQ,,45.0,0.0,False,45.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,biomass,15.837535261090785,0.0,True,0,inf,294201.05117025424,0.468,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,45.0,2337611.6,
BE0 1 nuclear,BE0 1,PQ,,2911.0,0.0,False,2911.0,inf,,0.0,0.883,,-inf,inf,0.0,1.0,nuclear,14.022994800175235,0.0,True,0,inf,753784.2152972104,0.326,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,2911.0,8594135.399999999,
BE0 1 oil,BE0 1,PQ,,108.6,0.0,False,108.6,inf,,0.0,1.0,,-inf,inf,0.0,1.0,oil,157.53459813527454,0.0,True,0,inf,39330.422852513875,0.35000000000000003,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,108.6,357414.4000000001,
CH0 0 CCGT,CH0 0,PQ,,55.0,0.0,True,55.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,CCGT,45.58657510597571,0.0,True,0,inf,101315.89438229986,0.595,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,55.000462626002225,854514.0,
CH0 1 nuclear,CH0 1,PQ,,2970.0,0.0,False,2970.0,inf,,0.0,0.834,,-inf,inf,0.0,1.0,nuclear,14.022864968676286,0.0,True,0,inf,753784.2152972104,0.326,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,2970.0,8594135.399999999,
CZ0 0 CCGT,CZ0 0,PQ,,179.0,0.0,True,179.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,CCGT,45.587456805771154,0.0,True,0,inf,101315.89438229986,0.595,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,179.0000068298341,854514.0,
CZ0 0 coal,CZ0 0,PQ,,649.965554377038,0.0,False,649.965554377038,inf,,0.0,1.0,,-inf,inf,0.0,1.0,coal,30.109472381617536,0.0,True,0,inf,337208.02744802914,0.356,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,649.965554377038,3827162.9,
CZ0 0 lignite,CZ0 0,PQ,,152.1530796627597,0.0,False,152.1530796627597,inf,,0.0,1.0,,-inf,inf,0.0,1.0,lignite,13.266300493340152,0.0,True,0,inf,337208.02744802914,0.33,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,152.1530796627597,3827162.9,
CZ0 0 nuclear,CZ0 0,PQ,,2000.0,0.0,False,2000.0,inf,,0.0,0.839,,-inf,inf,0.0,1.0,nuclear,14.024215362134628,0.0,True,0,inf,753784.2152972104,0.326,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,2000.0,8594135.399999999,
CZ0 1 CCGT,CZ0 1,PQ,,1399.0,0.0,True,1399.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,CCGT,45.58753100471667,0.0,True,0,inf,101315.89438229987,0.595,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,1399.0035470111632,854514.0,
CZ0 1 coal,CZ0 1,PQ,,135.0,0.0,False,135.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,coal,30.108657769705694,0.0,True,0,inf,337208.02744802914,0.356,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,135.0,3827162.9,
CZ0 1 lignite,CZ0 1,PQ,,2589.3687738971466,0.0,False,2589.3687738971466,inf,,0.0,1.0,,-inf,inf,0.0,1.0,lignite,13.266966391660324,0.0,True,0,inf,337208.02744802914,0.33,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,2589.3687738971466,3827162.9,
CZ0 1 nuclear,CZ0 1,PQ,,2164.0,0.0,False,2164.0,inf,,0.0,0.839,,-inf,inf,0.0,1.0,nuclear,14.023082472041073,0.0,True,0,inf,753784.2152972104,0.326,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,2164.0,8594135.399999999,
DE0 0 CCGT,DE0 0,PQ,,917.5131000000001,0.0,True,917.5131000000001,inf,,0.0,1.0,,-inf,inf,0.0,1.0,CCGT,46.92057499561318,0.0,True,0,inf,101315.89438229984,0.5820446475369124,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,917.5175883157995,854514.0,
DE0 0 biomass,DE0 0,PQ,,198.60500000000005,0.0,False,198.60500000000005,inf,,0.0,1.0,,-inf,inf,0.0,1.0,biomass,16.206492971491333,0.0,True,0,inf,294201.05117025424,0.4591381888673497,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,198.60500000000005,2337611.6,
DE0 0 coal,DE0 0,PQ,,472.8,0.0,False,472.8,inf,,0.0,1.0,,-inf,inf,0.0,1.0,coal,30.108367670130434,0.0,True,0,inf,337208.0274480291,0.356,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,472.8,3827162.9,
DE0 0 oil,DE0 0,PQ,,88.53800000000003,0.0,False,88.53800000000003,inf,,0.0,1.0,,-inf,inf,0.0,1.0,oil,157.53341438827843,0.0,True,0,inf,39330.42285251386,0.34999999999999976,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,88.53800000000003,357414.4,
DE0 1 CCGT,DE0 1,PQ,,1311.7870999999998,0.0,True,1311.7870999999998,inf,,0.0,1.0,,-inf,inf,0.0,1.0,CCGT,57.96373791126914,0.0,True,0,inf,101315.89438229986,0.4828180625243856,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,1311.7882889477116,854514.0,
DE0 1 biomass,DE0 1,PQ,,175.5446,0.0,False,175.5446,inf,,0.0,1.0,,-inf,inf,0.0,1.0,biomass,16.95051164162932,0.0,True,0,inf,294201.05117025424,0.44128086423621127,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,175.5446,2337611.6,
DE0 1 coal,DE0 1,PQ,,3267.9,0.0,False,3267.9,inf,,0.0,1.0,,-inf,inf,0.0,1.0,coal,30.109748086244828,0.0,True,0,inf,337208.0274480291,0.356,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,3267.9,3827162.9,
DE0 1 oil,DE0 1,PQ,,403.608,0.0,False,403.608,inf,,0.0,1.0,,-inf,inf,0.0,1.0,oil,154.76707307751295,0.0,True,0,inf,39330.42285251387,0.35694361856058354,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,403.608,357414.4,
DE0 10 CCGT,DE0 10,PQ,,741.6181999999998,0.0,True,741.6181999999998,inf,,0.0,1.0,,-inf,inf,0.0,1.0,CCGT,52.196428002839575,0.0,True,0,inf,101315.8943822999,0.5314160169229052,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,741.6190397353689,854514.0,
