planning_horizon,technology,parameter,value,unit,source,further description
all,HVAC overhead,investment,772.0,EUR2020/MW/km,NEP2023,Assuming High Temperature Low Sag Cables with higher Amperage
all,offwind-ac-connection-submarine,investment,0.0,EUR2020/MW/km,NEP2023,
all,offwind-ac-connection-underground,investment,0.0,EUR2020/MW/km,NEP2023,
all,offwind-ac-station,investment,0.0,EUR2020/kW,NEP2023,"cost of two stations, landseitig and seeseitig"
all,HVDC inverter pair,investment,597015.0,EUR2020/MW,NEP2021+NEP2023,
all,HVDC overhead,investment,995.0,EUR2020/MW/km,NEP2021+NEP2023,
all,HVDC underground,investment,2978.0,EUR2020/MW/km,NEP2023,
all,HVDC submarine,investment,2978.0,EUR2020/MW/km,NEP2023,set equal to HVDC underground
all,offwind-dc-connection-submarine,investment,0.0,EUR2020/MW/km,NEP2023,DC 525kv seeseitig
all,offwind-dc-connection-underground,investment,0.0,EUR2020/MW/km,NEP2023,DC 525kv landseitig
all,offwind-dc-station,investment,0.0,EUR2020/kW,NEP2023,"cost of two stations, landseitig and seeseitig"
all,electricity distribution grid,investment,1500.0,EUR2020/kW,oriented towards JRC-EU-TIMES,
all,biomass boiler,pelletizing cost,17.8,EUR/MWh_pellets,Assumption based on doi:10.1016/j.rser.2019.109506,Additional added transport costs of 8.8 EUR/MWh
all,offwind-dc-connection-submarine,FOM,0.35,%/year,Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025-table A.2,copied from HVDC submarine
all,offwind-dc-connection-underground,FOM,0.35,%/year,Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025-table A.2,copied from HVDC underground
all,offwind-ac-connection-submarine,FOM,0.35,%/year,Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025-table A.2,copied from HVDC submarine
all,offwind-ac-connection-underground,FOM,0.35,%/year,Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025-table A.2,copied from HVDC submarine
all,hydrogen storage underground,investment,0.55,EUR/kWh,Langfristszenarien Szenario 045-Strom,
2020,Fischer-Tropsch,efficiency,0.653,per unit,1/hydrogen-input,should be fixed in technology-data
2025,Fischer-Tropsch,efficiency,0.678,per unit,1/hydrogen-input,should be fixed in technology-data
2030,Fischer-Tropsch,efficiency,0.704,per unit,1/hydrogen-input,should be fixed in technology-data
2035,Fischer-Tropsch,efficiency,0.718,per unit,1/hydrogen-input,should be fixed in technology-data
2040,Fischer-Tropsch,efficiency,0.734,per unit,1/hydrogen-input,should be fixed in technology-data
2045,Fischer-Tropsch,efficiency,0.743,per unit,1/hydrogen-input,should be fixed in technology-data
2050,Fischer-Tropsch,efficiency,0.754,per unit,1/hydrogen-input,should be fixed in technology-data
2020,onwind,investment,1341.0,EUR/kW,"https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/studie-stromgestehungskosten-erneuerbare-energien.html, Tabelle 1, Mittelpunkt der Preisspanne","umgerechtnet mittels CPI=1.193, Kostenreduktion nach DEA"
2025,onwind,investment,1291.0,EUR/kW,"https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/studie-stromgestehungskosten-erneuerbare-energien.html, Tabelle 1, Mittelpunkt der Preisspanne","umgerechtnet mittels CPI=1.193, Kostenreduktion nach DEA"
2030,onwind,investment,1241.0,EUR/kW,"https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/studie-stromgestehungskosten-erneuerbare-energien.html, Tabelle 1, Mittelpunkt der Preisspanne","umgerechtnet mittels CPI=1.193, Kostenreduktion nach DEA"
2035,onwind,investment,1206.0,EUR/kW,"https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/studie-stromgestehungskosten-erneuerbare-energien.html, Tabelle 1, Mittelpunkt der Preisspanne","umgerechtnet mittels CPI=1.193, Kostenreduktion nach DEA"
2040,onwind,investment,1171.0,EUR/kW,"https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/studie-stromgestehungskosten-erneuerbare-energien.html, Tabelle 1, Mittelpunkt der Preisspanne","umgerechtnet mittels CPI=1.193, Kostenreduktion nach DEA"
2045,onwind,investment,1163.0,EUR/kW,"https://www.ise.fraunhofer.de/de/veroeffentlichungen/studien/studie-stromgestehungskosten-erneuerbare-energien.html, Tabelle 1, Mittelpunkt der Preisspanne","umgerechtnet mittels CPI=1.193, Kostenreduktion nach DEA"
